P0DO05	AAT77548	AY569331.1	14844	17435	LA1301:
P03275	AP_000190	AC_000007.1	31030	32778	:GCF_000845085.1;KNIH Ad 00/1:;KNIH 00/3:;KNIH 00/4:;KNIH 00/2:;human/USA/UFL_Adv2/2004/2[P2H2F2]:GCA_006445715.1;3C2:GCA_006410165.1;8C2:GCA_006409945.1;19C2:GCA_006409665.1;21C2:GCA_006409625.1;33C2:GCA_006409345.1;34C2:GCA_006409325.1;35C2:GCA_006409305.1;36C2:GCA_006409285.1;37C2:GCA_006409265.1;38C2:GCA_006409245.1;39C2:GCA_006409225.1;42C2:GCA_006409185.1;44C2:GCA_006409135.1
P11818	AP_000226	AC_000008.1	31042	32787	:GCA_006447995.1;NHRC Ad5FS 7151:GCA_006448715.1;human/USA/CL_42/1988/5[P5H5F5]:GCA_006445775.1;human/USA/UFL_Adv5/2008/5[P2/H5/F5]:;human/USA/Pitts_00149/1990/5[P5H5F5]F268310:
Q65914	AP_000632	AC_000020.1	26592	28220	:GCF_000856885.1;Toronto A26/61:GCA_006448135.1;Toronto A 26/61:
P02749	NP_000033	NC_000017.11	66212133	66229379	:GCF_000001405.39
P06681	NP_000054	NC_000006.12	31927753	31945357	:GCF_000001405.39
P22607	NP_000133	NC_000004.12	1793935	1807262	:GCF_000001405.39
P23945	NP_000136	NC_000002.12	48962733	49154417	:GCF_000001405.39
P10253	NP_000143	NC_000017.11	80104587	80119331	:GCF_000001405.39
P07359	NP_000164	NC_000017.11	4932605	4934563	:GCF_000001405.39
P14770	NP_000165	NC_000003.12	129061740	129062273	:GCF_000001405.39
Q16787	NP_000218	NC_000018.10	23873045	23954648	:GCF_000001405.39
P22888	NP_000224	NC_000002.12	48687697	48755671	:GCF_000001405.39
P98161	NP_000287	NC_000016.10	2089727	2135689	:GCF_000001405.39
P07225	NP_000304	NC_000003.12	93874245	93973749	:GCF_000001405.39
P13224	NP_000398	NC_000022.11	19723570	19724464	:GCF_008122165.1
P32004	NP_000416	NC_000023.11	153862663	153875836	:GCF_000001405.39
P24043	NP_000417	NC_000006.12	128883246	129516347	:GCA_000001405.28
P16581	NP_000441	NC_000001.11	169725744	169733612	:GCF_000001405.39
P00742	NP_000495	NC_000013.11	113122856	113149517	:GCA_002880755.3
P02671	NP_000499	NC_000004.12	154584124	154590687	:GCF_000001405.39
P02679	NP_000500	NC_000004.12	154604340	154612609	:GCF_000001405.39
P02741	NP_000558	NC_000001.11	159713525	159714485	:GCF_000001405.39
P17927	NP_000564	NC_000001.11	207496268	207639409	:GCF_000001405.39
P08174	NP_000565	NC_000001.11	207321766	207359610	:GCF_000001405.39
P13591	NP_000606	NC_000011.10	112961613	113275387	:GCA_002880775.3
P14151	NP_000646	NC_000001.11	169691784	169711498	:GCF_000001405.39
P04003	NP_000706	NC_000001.11	207113026	207144717	:GCF_000001405.39
P20851	NP_000707	NC_000001.11	207089532	207099929	:GCF_000001405.39
Q14393	NP_000811	NC_000013.11	113820864	113863920	:GCF_000001405.39
P11717	NP_000867	NC_000006.12	159969247	160105084	:GCF_000001405.39
Q704V6	NP_001001159	NC_037333.1	58051143	58070580	:GCF_002263795.1
Q6NX28	NP_001001205	NC_030686.2	43887154	43890312	Nigerian:
Q9GL76	NP_001001262	NC_010451.4	46827307	46890625	:GCF_000003025.6
Q29411	NP_001001540	NC_010451.4	113886039	113894967	:GCF_000003025.6
Q8MHZ9	NP_001001856	NC_037355.1	35467489	35476737	:GCF_002263795.1
Q3TEW6	NP_001001880	NC_000067.6	165593653	165634393	C57BL/6J:GCF_000001635.26;C57BL/6:;mixed:GCA_000002165.1
Q6NVI7	NP_001001900	NC_030681.2	32389032	32409665	Nigerian:
Q6GQN5	NP_001002202	NC_007135.7	23731390	23740648	Tuebingen:
P42916	NP_001002237	NC_037355.1	35512122	35519073	:GCF_002263795.1
Q6DHL5	NP_001002627	NC_007128.7	12739607	12747442	Tuebingen:GCF_000002035.6;:GCF_000507365.1
Q863H3	NP_001002890	NC_037332.1	99655608	99660385	:GCF_002263795.1
Q863B4	NP_001002990	NC_006613.3	36638796	36641654	:GCF_000002285.3;TameXAggressive cross:
Q863J2	NP_001002991	NC_006613.3	36665695	36668415	:GCF_000002285.3
Q863T4	NP_001002992	NC_006613.3	36681508	36684540	:GCF_003254725.1
P83286	NP_001003056	NC_006620.3	216685	222514	:GCF_000002285.3
Q28256	NP_001003083	NC_006587.3	31682054	31683261	:GCF_000002285.3
Q29393	NP_001003228	NC_006597.3	31834103	31872963	:GCF_003254725.1;TameXAggressive cross:
O02678	NP_001003229	NC_006621.3	121330403	121334379	:GCF_000002285.3
P24643	NP_001003232	NC_006593.3	1968033	1982453	:GCF_000002285.3
P49256	NP_001003258	NC_006586.3	36003149	36023263	:GCF_003254725.1
P33703	NP_001003265	NC_006591.3	14082661	14095090	:GCF_003254725.1;beagle:
P14763	NP_001003285	NC_006590.3	53327342	53480833	:GCF_003254725.1
Q28260	NP_001003298	NC_006588.3	49342442	49359681	:GCF_000002285.3
Q6DGJ1	NP_001003430	NC_007114.7	41786069	41791141	Tuebingen:GCF_000002035.6
Q69FH1	NP_001003707	AC_000072.1	145381243	145388928	BN; Sprague-Dawley:GCF_000002265.2;mixed:GCF_000001895.5;PVG:;DA:
Q6AXL3	NP_001003775	NC_007135.7	28411121	28415116	Tuebingen:GCF_000002035.6;Singapore:;Singapore local strain:
Q91WP0	NP_001003893	NC_000070.6	148602586	148614521	C57BL/6J:;C57BL/6:;NOD/MrkTac:GCF_000001635.26;FVB/N:
Q68AX7	NP_001004096	AC_000070.1	178310036	178321597	BN; Sprague-Dawley:GCA_000002265.1;mixed:;W:;Wistar:
P41217	NP_001004196	NC_000003.12	112333213	112361550	:GCF_000001405.39
Q6AYD4	NP_001004245	AC_000076.1	37206492	37216798	BN; Sprague-Dawley:GCA_000002265.1;mixed:GCF_000001895.5
Q80ZD8	NP_001004293	NC_000069.6	108187187	108188665	C57BL/6J:;FVB/N:;C57BL:;mixed:GCA_000002165.1
Q8N441	NP_001004356	NC_000004.12	1012486	1025347	:GCF_000001405.39
P14781	NP_001004381	NC_006088.5	29035592	29118948	:GCF_000002315.5
Q90944	NP_001004382	NC_006088.5	43956727	43976566	:GCF_000002315.5
P28685	NP_001004395	NC_006113.5	1988893	2002535	:GCF_000002315.5
Q9UHP7	NP_001004419	NC_000012.12	9669735	9694801	:GCA_002880755.3
Q6UY18	NP_001004432	NC_000001.11	151800923	151802704	:GCF_000001405.39
O42414	NP_001004493	NC_006113.5	1929626	1972661	:GCF_000002315.5
Q66HV9	NP_001004576	NC_007118.7	48460532	48483951	Tuebingen:GCF_000002035.6
Q6DF55	NP_001005036	NC_030685.2	20343230	20345215	Nigerian:
Q6ZSA7	NP_001005210	NC_000011.10	57182023	57187480	:GCF_000001405.39
Q8N7C0	NP_001005214	NC_000001.11	165544297	165563824	:GCF_008122165.1
Q63135	NP_001005265	AC_000081.1	106037183	106083449	BN; Sprague-Dawley:GCF_000002265.2;mixed:GCF_000001895.5
Q65Z91	NP_001005346	NC_006088.5	194860680	194862109	:GCF_000002315.5
Q6UWE0	NP_001005373	NC_000009.12	127454528	127502899	:GCF_000001405.39
O94856	NP_001005388	NC_000001.11	204944316	205016539	:GCF_000001405.39
Q80UL9	NP_001005421	NC_000075.6	45084064	45107444	C57BL/6J:;C57BL/6:
