0	1390	24	77
0	1390	146	747
0	1459	210	508
0	1459	916	937
0	1813	84	134
0	1813	205	504
0	1814	84	134
0	1814	206	503
0	1814	881	919
0	1462	84	132
0	1462	204	505
0	1462	884	921
0	1462	933	968
0	1054	43	152
0	1055	43	152
0	1904	21	89
0	1905	21	89
0	2450	21	89
0	3175	21	89
0	3182	21	89
0	1028	20	87
0	4268	28	96
0	822	22	124
0	1116	22	124
0	376	22	124
0	1637	22	124
0	11	29	234
0	2405	29	234
0	152	1	196
0	2402	79	356
0	17	79	352
0	18	30	225
0	2401	30	225
0	2406	115	308
0	9	115	308
0	16	27	225
0	2403	27	225
0	12	31	229
0	2408	31	229
0	13	37	227
0	2407	37	227
0	14	32	218
0	505	108	189
0	10	108	189
0	2404	108	189
0	2778	84	199
0	3548	84	199
0	1060	33	199
0	4356	106	199
0	964	41	63
0	964	160	233
0	1131	84	215
0	1887	84	215
0	1119	106	199
0	1121	106	199
0	820	134	225
0	1645	134	225
0	1043	134	225
0	1045	134	225
0	1047	134	225
0	1062	93	202
0	1064	93	202
0	3001	13	117
0	3550	13	117
0	1252	125	203
0	819	28	266
0	821	28	265
0	1044	28	265
0	1046	28	265
0	1048	28	265
0	1646	28	265
0	1132	30	251
0	1888	30	251
0	1049	25	257
0	1050	25	257
0	1051	25	257
0	1130	34	250
0	19	34	256
0	1041	34	256
0	1042	34	256
0	1421	32	257
0	1253	35	256
0	1052	23	240
0	1053	23	240
0	1063	70	234
0	1065	70	234
0	4357	109	233
0	1120	109	233
0	1122	109	233
0	1061	39	233
0	2779	106	233
0	3549	106	233
0	15	40	60
0	15	128	213
0	1754	24	121
0	1271	24	120
0	2997	24	138
0	935	105	125
0	935	125	220
0	4334	220	588
0	4334	965	1328
0	4334	1409	1774
0	4334	1907	2274
0	2284	26	389
0	1682	21	382
0	2742	48	409
0	635	21	387
0	3665	21	388
0	2388	21	382
0	3577	21	381
0	4349	19	379
0	1611	21	381
0	3243	21	381
0	3081	1	359
0	3074	21	387
0	3831	21	388
0	3663	21	388
0	3723	21	388
0	2806	29	389
0	2255	22	385
0	3872	22	383
0	2817	21	380
0	2789	21	380
0	1698	22	380
0	2248	22	380
0	2364	22	380
0	2352	19	377
0	2371	22	380
0	1592	24	389
0	2242	55	424
0	761	37	373
0	1693	24	391
0	518	23	379
0	4331	43	395
0	519	22	377
0	2025	22	377
0	22	63	383
0	4424	48	369
0	4	46	371
0	3	46	372
0	1417	43	85
0	1417	142	439
0	2422	28	440
0	4332	26	441
0	108	39	391
0	1627	41	381
0	373	39	385
0	1095	39	386
0	2298	39	386
0	1783	38	384
0	478	43	393
0	3350	43	393
0	4313	23	438
0	3511	26	438
0	3961	24	431
0	3517	26	438
0	2331	30	195
0	2331	200	450
0	509	4	367
0	3680	4	367
0	471	41	385
0	3516	26	438
0	1209	31	240
0	1209	265	413
0	2421	30	436
0	3519	23	436
0	589	41	387
0	2423	30	442
0	3518	23	436
0	3512	23	436
0	3581	30	441
0	970	162	195
0	970	232	552
